user_detail_name,user_detail_tags_text,text 4,resource_date_text,content_wrap,img src 3,img src 4,img src 5,img src 6,img src 7,img src 8,iplocation,like_content 2,img src 9,img src 10,img src 11,img src 12,img src 13,img src 14,switch_all
Annie长翅膀的喵,黄金贵宾,趣味5,2024-11-10 发布点评,"外滩，上海的名片。
        以前出名的情人墙和远东第一弯，现在都弱化了，万国建筑群是依旧盛名的。
        好天气，浦江两岸的建筑显得尤其壮观，中山东一路的厚重积淀和陆家嘴的新锐拔尖，隔江相望，各自述说着上海这座城市的故事。",https://dimg04.c-ctrip.com/images/1mh7412000glhq9frBF48_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1812000glhen8x1190_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4y12000glhf2wk5779_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3712000glhw7coBF7C_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2v12000glhjzqvA0EB_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1e12000glhxuax9B6E_D_180_180.jpg?proc=autoorient,IP属地:上海,11,,,,,,,
Grace_cyt,钻石贵宾,趣味5,2024-06-30 发布点评,夜景很漂亮，在乍浦路桥上可以看外白渡桥和人民英雄纪念碑印衬托下的浦东美景，然后向外白渡桥的方向走，过外白渡桥，走到人民英雄纪念碑下，夜晚血红的人民英雄纪念碑分外抢眼。而后沿着外滩走，左手边可以看到黄浦江和对面浦东的东方明珠以及三件套，右手边是浦西的万国建筑群，景致非常棒，走在黄浦江边，吹着江风，看着浦江两岸绚烂的美景，感受这个不夜城的魅力。周末和节假日晚上这里人很多，要注意安全。,https://dimg04.c-ctrip.com/images/1mh2512000emt65nsB267_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4212000emt754mFDB3_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh5p12000emt6592DAD4_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6l12000emt65945D17_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3812000emtjwcxB96A_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4z12000emtb2nx535A_D_180_180.jpg?proc=autoorient,IP属地:上海,8,https://dimg04.c-ctrip.com/images/1mh1r12000emt3bwv8B08_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4y12000emt754o229F_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh0312000emteq8cC648_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3n12000emt66ti3D1D_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh5a12000emtfbkeFBFD_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1g12000emtkx8x5888_D_180_180.jpg?proc=autoorient,
胡di 卖火柴的老男孩,,趣味5,2025-02-05 发布点评,上海外滩不愧为万国建筑博览。浦东浦西两岸的景色都很惊艳！上海外滩不愧为万国建筑博览。浦东浦西两岸的景色都很惊艳！上海外滩不愧为万国建筑博览。浦东浦西两岸的景色都很惊艳！,https://dimg04.c-ctrip.com/images/1mh0f12000ib6gh4m998A_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3v12000ib5znj78AA5_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2712000ib6gh4q9D02_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1l12000ib69jxx4C95_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3212000ib6pfno139E_D_180_180.jpg?proc=autoorient,,IP属地:上海,9,,,,,,,
晨光2023,铂金贵宾,趣味5,2025-01-02 发布点评,外滩景区位于上海黄浦区黄浦江畔，以其风格迥异的万国建筑群和迷人的浦江夜景闻名。这里是上海的标志性景点，见证了城市的沧桑巨变。漫步外滩，可欣赏到对岸陆家嘴的摩天大楼群，感受浓厚的历史氛围与现代都市的繁华，是游客必到之处。,https://dimg04.c-ctrip.com/images/1mh6212000hjioa06D4EC_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1v12000hjjmm1oD7F7_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4912000hjirjrd9F31_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6o12000hji6k79E257_D_180_180.jpg?proc=autoorient,,,IP属地:上海,6,,,,,,,
枫原没有万叶,铂金贵宾,趣味5,2024-12-21 发布点评,"外滩，上海的经典地标，承载着深厚的历史文化底蕴与现代都市的繁华。位于黄浦江畔，外滩以其独特的万国建筑博览群而闻名，这些风格各异的建筑见证了上海从近代到现代的沧桑巨变。

漫步在外滩，不仅可以欣赏到黄浦江的美景和对岸浦东的摩天大楼，还能感受到浓厚的历史氛围。夜晚的外滩更是迷人，灯光璀璨，江面波光粼粼，与两岸的灯火交相辉映，构成了一幅美丽的画卷。

此外，外滩还聚集了众多高端餐厅和咖啡厅，是品味上海美食、享受悠闲时光的理想之地。无论是白天还是夜晚，外滩都以其独特的魅力吸引着无数游客和市民前来观光、休闲。",https://dimg04.c-ctrip.com/images/1mh3g12000hc1ffylD72A_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh5m12000hc2l3m4B261_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6w12000hc0qopr17EF_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6c12000hc1w47u3EB7_D_180_180.jpg?proc=autoorient,,,IP属地:上海,4,,,,,,,
悦途漫记,,趣味4,2024-10-19 发布点评,外滩值得一去。外滩的特点鲜明，它拥有极具历史韵味的万国建筑博览群，风格各异的西式建筑见证了上海的变迁。黄浦江畔，一边是古老的欧式建筑，一边是现代的摩天大楼，形成强烈对比。夜晚灯光璀璨，江上游轮穿梭，营造出梦幻般的氛围。在这里，你可以漫步欣赏美景，感受上海的繁华与历史的交融。无论是拍照打卡还是领略城市风貌，外滩都是绝佳之地，能让你深刻体会到上海这座国际化大都市的独特魅力。,https://dimg04.c-ctrip.com/images/1mh3s12000g7pm4x6285B_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6n12000g7pa9b9B4D6_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6112000g7pivh741B4_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1w12000g7ple0e4F81_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6612000g7pmyfy029E_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2i12000g7pjxj4921E_D_180_180.jpg?proc=autoorient,IP属地:河南,2,https://dimg04.c-ctrip.com/images/1mh5b12000g7pn7085783_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2l12000g7pg8r103E9_D_180_180.jpg?proc=autoorient,,,,,
我是夜王,铂金贵宾,趣味5,2025-03-21 发布点评,上海外滩是上海的代表性景点。这里无论是白天还是晚上，都可以看到迷人的风光。漫步在浦西的外滩观景平台上，浦东的摩天大厦和浦西的万国建筑形成鲜明的对比，让人感受到历史的痕迹（浦西）和中国改革开放的成果（浦东）。如果有时间，你还可以乘坐浦江游轮，从黄浦江上眺望浦东和浦西，景色很美，如果不想花太多的钱，你可以坐黄浦江上的渡轮，每次只要2元就可以了。黄浦江的渡轮在金陵东路口就有一个。,https://dimg04.c-ctrip.com/images/1mh1v12000j7ycy16D73A_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4w12000j7zbbhi45C1_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3a12000j7yud49C3C2_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3712000j7ykkc226F6_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1n12000j7xd3v814AB_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4u12000j7z9mw772E6_D_180_180.jpg?proc=autoorient,IP属地:上海,1,https://dimg04.c-ctrip.com/images/1mh3l12000j7x4c6e19AC_D_180_180.jpg?proc=autoorient,,,,,,
漱石枕流者,铂金贵宾,趣味5,2025-01-19 发布点评,"打卡外滩不肉疼！玩法+美食+省钱全攻略

心血来潮去了趟外滩，本以为钱包要“大出血”，没想到巧用攻略，玩得超嗨还省钱，必须分享给大家！

??观景巧思
外滩看夜景人挤人，想找到绝佳拍摄点，又不想被人群挡住？可以去外滩源，欧式建筑搭配对岸陆家嘴天际线，随便一拍都是大片。再悄悄告诉你，上海外滩华尔道夫酒店的户外露台，是隐藏观景地，人少视野佳，能把外滩景色尽收眼底。关键是，不消费也能在这短暂停留欣赏美景。

??平价美味
来外滩，小吃可不能错过。乍浦路美食街藏着超多宝藏，阿大葱油饼，外酥里嫩，葱香十足，3元一个，一口下去超满足。还有提篮桥老摊头葱油饼一号，酥脆掉渣，肉香四溢，5元钱的快乐，谁吃谁知道。正餐的话，试试老上海弄堂菜，性价比超高，人均不到80元，就能品尝地道红烧肉、油爆虾等招牌菜。

??省钱秘籍
住宿别扎堆外滩，选择地铁2号线沿线的酒店，交通便利还实惠。比如人民广场附近，房价能便宜30% - 50%。出行用上海交通卡，坐公交、地铁都能打折，在地铁站就能办理和退卡。去景点前，上各大旅游平台搜优惠券、团购票，能省不少钱。

亲测好用的外滩省钱游玩攻略，都毫无保留分享给大家啦！要是你也有超棒的外滩省钱玩法，快在评论区分享，觉得有用别忘了点赞收藏哦！",https://dimg04.c-ctrip.com/images/1mh6x12000hw7hef3E76E_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3x12000hw6corpB077_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh1612000hw64gdnFCC9_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4t12000hw6corr99D8_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6k12000hw5i5jc0E6E_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2n12000hw6ezr1283A_D_180_180.jpg?proc=autoorient,IP属地:浙江,1,https://dimg04.c-ctrip.com/images/1mh5p12000hw6cortE137_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2c12000hw69h62FF44_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2x12000hw754tm395E_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh0e12000hw5vtcc653B_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6l12000hw6corv0DDB_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3812000hw69h640C0E_D_180_180.jpg?proc=autoorient,全文
冰咖啡彩虹糖,铂金贵宾,趣味5,2025-01-07 发布点评,百余年来，外滩就一直是上海的象征，在经过二十世纪九十年代的两期综合改造后，新外滩以她特有的气势和节奏，向你呈现出“世纪上海”的风采。外滩向以“万国建筑博览”而著称，在新外滩的滨江长堤上，又增添了上海人民英雄纪念塔、陈毅塑像、“时代步伐”、“海上明珠”、“大地主人”广场和“为了明天”城市雕塑等六大艺术景观，更为新世纪的外滩景观锦上添花。漫步外滩，倚栏东望百舸争流的黄浦江母亲河，举目远眺浦东高耸入云的东方明珠广播电视塔、金茂大厦，还有那美轮美奂的上海国际会议中心和陆家嘴金融贸易区鳞次栉比的摩天大楼，与造型独特、起伏有致的外滩万国建筑博览群构成了一部风格迥异的古典与现代和谐统一的艺术交响诗，再配上现代化的泛光照明更使其魅力无穷。外滩，她正以崭新的姿态重塑远东“华尔街”的风采。,https://dimg04.c-ctrip.com/images/1mh0i12000hmpa4au6284_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh6h12000hmoysr8A640_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh3812000hmontxp9E83_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh5i12000hmp16f26A14_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh2y12000hmovz3g2B4A_D_180_180.jpg?proc=autoorient,,IP属地:河北,1,,,,,,,全文
漫步游侠,,趣味5,2024-11-06 发布点评,"上海外滩的夜景，恰似一幅流光溢彩的璀璨画卷，只需一眼，便会被深深吸引，沉醉其中无法自拔。
 
夜幕像一块黑色的绸缎，轻轻落下，华灯初放之时，外滩瞬间被绚丽夺目的灯光点亮，宛如白昼。万国建筑博览群宛如一群盛装出席的贵族，在灯光的映照下，尽显壮观之姿。这些欧式建筑满是历史韵味，犹如一位位老者，散发着古老而神秘的气息。金色的灯光如同灵动的画笔，细细勾勒出建筑的轮廓，它们似在低声诉说着往昔的辉煌传奇，每一块砖石都承载着岁月的记忆。
 
黄浦江畔，江水宛如一条流动的银河，波光粼粼。江面上，游船似一颗颗闪耀的星星穿梭往来，船上的灯光与两岸的夜景相互交织、碰撞，散发出五彩斑斓的光芒。这些光芒倒映在江水中，随着江水的起伏摇曳生姿，如梦如幻，仿佛是江上的精灵在翩翩起舞。
 
对岸的陆家嘴，摩天大楼鳞次栉比，宛如一片钢铁森林。东方明珠广播电视塔宛如一颗耀眼的明珠，直插云霄，它像是一位神奇的魔术师，不断变换着色彩，在夜空中璀璨夺目，吸引着众人的目光。金茂大厦、上海环球金融中心、上海中心大厦等高楼大厦的灯光也毫不逊色，它们交相辉映，似在争奇斗艳，共同展示着上海这座国际化大都市的现代化气息与无尽繁华。
 
外滩的街道上人头攒动，游人如织。大家或悠然漫步，沉醉于这如梦似幻的夜景之中；或停下脚步，用相机捕捉这美好的瞬间，想要把外滩的美永远留存。街头艺人的表演为这迷人的夜景注入了一股活力，悠扬的歌声、精彩的杂技，让这里充满了欢声笑语。远处，悠扬的钟声传来，宛如天籁之音，似在轻声提醒人们，要珍惜这如梦似幻般美好的时光。
 
上海外滩的夜景，是历史与现代的激情相拥，是繁华与宁静的和谐共舞，让人沉浸其中，流连忘返，尽情享受这无尽的美丽。",https://dimg04.c-ctrip.com/images/1mh3x12000giyzsw53615_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4e12000gizioa42323_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4h12000gizgmklB7FA_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh4k12000gizn7etB5F4_D_180_180.jpg?proc=autoorient,https://dimg04.c-ctrip.com/images/1mh5012000giyor7qEEF5_D_180_180.jpg?proc=autoorient,,IP属地:河南,1,,,,,,,全文
