"user_detail_name","text","text 2","text 3","text 4","text 5","content_wrap","iplocation"
"吉祥南瓜🎃","5分","超棒","景色5","趣味5","性价比5","非常舒服的地方，能够满足不同人群的需求，礼佛、喝茶看戏、聚餐、购物、拍照摄影出片等等。性价比很高，物价正常，游逛中没有啥高消费的地方（因人而异）。文化氛围浓厚，颇具川西特色，周围很有烟火气。非常棒的地方，成都必打卡！","IP属地:黑龙江"
"游侠半仙","5分","超棒","景色5","趣味5","性价比5","文殊坊是成都市四大历史文化街区之一，两轴一河的文明交汇点，东侧的大安门是传统城市轴线的北面门户，先秦时期的“金牛道”、“驰道”和南丝绸之路的起点，见证了成都市文明迁移和都城建设的历史 区城内的20余条历史街巷，坊市合一街店合一，是成都人最早生活的起点。文殊院、娘娘庙、金沙庵 爱道堂和众多保护院落还在述说着当年九宫十八庙的盛况，是成都历史建筑和人文遗产最为典型的代表。",""
"qmxc","5分","超棒","景色5","趣味5","性价比5","个人觉得文殊坊比宽窄巷子，锦里更值得参观。一者人没有那么多，二者文化气息更浓厚。而且规划的不错，街巷更宽一些。而且有许多非遗传承的技艺。","IP属地:陕西"
"126****651","5分","超棒","景色5","趣味5","性价比5","感恩林添银导游耐心细致的精彩讲解，3个多小时，佛法知识太深厚。让我们受益匪浅。谢谢林师兄","IP属地:四川"
"心灵宫殿","4分","满意","景色4","趣味5","性价比5","《在文殊坊，邂逅一场属于自己的故事》

在老成都人嘴里流传着一句老话：南富西贵，北匪东穷。顾名思义坐落在成都城北面的文殊坊，曾经是丧葬物品一条街，一般人都不愿去，总觉得与死亡相关，带有不吉祥的阴森恐怖。提起现在的文殊坊，你会想到什么呢？是古寺文殊院？还是香酥可口的宫廷糕点？

文殊坊位于成都文殊院历史文化保护区内，与千年古寺文殊院一墙之隔。它是老成都人文风貌，民俗风情的一段剪影；它和锦里，宽窄巷子并称成都三大历史街区；它以禅文化、民俗文化为主题，以川西街、院建筑为主体，充分显示老成都人文历史的精髓。

在文殊院游览后，来到文殊坊，这里整个布局是典型的川西民居建筑风格。或许看惯了成都的高楼大厦，来到这里，复古的街区会让你眼前一亮，目前文殊坊还在活化中，很多老建筑都在修复，所以人流还算冷清。走在文殊坊的街区里，眼前的青瓦白墙，雕花窗棂，飞檐斗拱，脊禀彩绘，园林庭院，红木回廊，雕刻精美的照面枋和连珠板、拴马桩、抱鼓石随处可见，门龙、门神、各种形式的雕花门窗和屋脊花饰应有尽有，无时无刻无不述说着曾经成都厚重的历史。

宁静与繁华，古朴与时尚，双面生活的矛盾体，在文殊坊体现得淋漓极致，它有老成都的记忆和新成都的畅想。

这里有历史，有故事，找个时间，不妨到这里走一走，去看一看吧，邂逅一场属于自己的故事！

旅游小贴士：
文殊坊
地址：四川省成都市青羊区文殊院街66号；
交通：最快捷成都地铁1号线【文殊院】站K出口沿文殊街步行即到；
旅游攻略：
这里的历史文化保护区是中国都市内数量最多且最集中的禅院休闲区。这里汇集千年古寺文殊院、白云寺、五岳宫、楞伽庵、爱道堂，灶君庙、准提庵、金马祠、梵音寺、金沙寺，火神庙、新开寺、文圣庙、武圣庙……几乎是百步一寺、千步一观，故而曾经有“九宫十八庙”之说，所以不妨有时间可以慢慢游览。
文殊坊还是旅拍的好地方，有很多俊男靓女在这里拍网红照，汉服照，古装照，无论怎么取景，都能拍出古风的味道，只需要穿适合这里场景的衣服便能轻松自如地获得令人满意的底片。
美食攻略：
在文殊坊，绝对不仅仅只有复古老建筑而已，这里之所以能留住游客的脚步，自然少不了俘获人心的美食，如龙抄手、钟水饺、赖汤圆等，成都的百年字号老店集聚在此。又如各种小吃的PK场，如洞子口张老二凉粉，邱二哥锅盔，严太婆锅盔......那宫廷糕点铺和闻酥园就更厉害了，这两家店人流很大，永远都在PK。",""
"chenap","5分","超棒","景色5","趣味5","性价比5","‌‌文殊坊牌坊与文殊院‌：文殊坊位于成都文殊院历史文化保护区内，与千年古寺文殊院一墙之隔。这里古色古香的建筑和青石板路让人仿佛置身于一幅美丽画卷之中‌。
‌在文殊坊，可以感受千年古寺的魅力，体验川剧、汉服、古玩字画、蜀绣等传承文化‌。品尝洞子口张老二凉粉、肥肠粉等当地特色小吃，感受成都的味蕾盛宴‌。
‌傍晚时分，漫步在熙熙攘攘的街巷里，两旁古树参天，各色店铺林立，感受悠闲自在的生活态度‌。文殊坊特别适合穿汉服拍照，可以租一条披风，化身电视剧里的大女主‌。在路边皮影戏摊位，体验操控可爱的大熊猫皮影，感受非物质文化遗产的魅力‌。","IP属地:四川"
"心灵ZTZ","5分","超棒","景色5","趣味5","性价比5","这里不需要门票，就是在成都的文殊院附近，有很多古色古香的建筑，里面有卖各种东西有成都那些特别的一些当地特色也有一些小吃走走，逛逛很有意思，同时在这里也能感受到成都的历史和文化，建议可以和朋友一起来逛逛。","IP属地:上海"
"下山虎8358","5分","超棒","景色5","趣味5","性价比5","成都文殊坊是由成都文殊院和商业街两大部分组成。文殊院是长江流域四大禅林之首，起源可追溯至隋末公元600余年前，现有建筑面积20余万平米。全部为木质结构，六重正殿，气势恢宏。各殿镂空窗花式样各异，繁多精巧！堪称国内佛寺之冠。200余尊铜雕、铁铸、玉刻、彩塑、脱纱、木雕、石刻、水晶佛、菩萨、罗汉等造像工艺精湛，造型饱满。空林佛学院亦享誉海内外。 商业街在历史成因的基础上，近年来，经过政府大力扶持改造，已形成很多商誉不错的店家，餐饮、工艺品店等应有尽有。在现有店铺不断改造的基础上，政府也在规划二期工程。",""
"M31****4603","5分","超棒","","","","文殊坊很有特色，古色古香的建筑充满了川西风情。
 
这里有很多小吃和特色商品，能让你品尝到地道的美食。
 
还有一些寺庙和文化场所，能感受浓厚的文化氛围。
 
总的来说，文殊坊是一个适合休闲漫步的地方","IP属地:云南"
"lisza","4分","满意","景色4","趣味4","性价比4","成都文殊坊位于文殊院历史文化保护区内，文殊坊以禅文化、民俗文化为主题，体现老成都人文历史精髓。它以禅文化、民俗文化为主题，体现老成都人文历史精髓，成都庙街与成都会馆一街之隔，同样为传统老建筑。庙街主要包括旅游精品古玩、旅游民俗用品、文化餐饮休闲等。路过可以去看看，感觉没必要特地过去。",""
