user_detail_name,text,text 2,text 3,text 4,text 5,content_wrap,iplocation,,,,,attraction_name
匿名用户,2分,一般,景色5,趣味3,性价比1,售票处4号窗口不是一般差 我先去拿国外学生证问了一下可以用吗 然后看我年龄说我不是本科生 不承认我的学生身份 我只是读大学晚而已 看不起人啊 你直接说年龄超了 我就买成人票了 谁也不是差15块 什么态度,IP属地:上海,,,,,豫园差评
M27****0385,1分,不佳,景色1,趣味1,性价比1,人多，景色少,IP属地:天津,,,,,豫园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,全部都是人头，豫园也很小人多，根本没有时间停下来仔细观察，只是走马观花的看了一下，表示到此一游，下次一定不能在节假日去看，可以周末去一下，细细品味一下江南园林独特韵味，了解一下前世今生。,IP属地:江苏,,,,,豫园差评
M51****4580,1分,不佳,景色1,趣味1,性价比1,就一个围起来收费几次的破院子,IP属地:重庆,,,,,豫园差评
M29****1936,1分,不佳,景色2,趣味1,性价比1,没意思人还多,IP属地:中国台湾,,,,,豫园差评
LⅩP安全,2分,一般,景色3,趣味2,性价比1,乱七八糟，太乱了。,IP属地:浙江,,,,,豫园差评
匿名用户,1分,不佳,景色1,趣味1,性价比1,想钱想疯也不限流一直进人全堵在里面走不动还一直进人想出去的出不去进来的又堵住也无人安排有秩序的疏通通道就一直进人想钱想疯 但凡限流一分钟就好像对金钱的不尊重。真心无语差差差,IP属地:江苏,,,,,豫园差评
M32****8522,2分,一般,景色5,趣味2,性价比2,买的是1.5小时的讲解，讲解员只讲了1个小时零7分钟，严重缩水。白瞎了我的讲解费，毕竟1小时和1.5小时的讲解，价格是不一样的。而且讲解内容简单，深度不够，这么有特色的园林却没有讲出什么来，浪费了良辰美景，浪费了我的人民币，还不如听豫园小程序上的讲解来得详细。这个讲解是真的白费钱，不值得，差评，劝退！,IP属地:上海,,,,,豫园差评
206****939,1分,不佳,景色2,趣味1,性价比2,一堆乱七八糟的小亭子，不要来了，浪费时间浪费钱！,IP属地:上海,,,,,豫园差评
ErichSeow,1分,不佳,,,,一点也不有趣。,IP属地:未知,,,,,豫园差评
_KK***11,1分,不佳,,,,上海旅行时一定要访问,IP属地:未知,,,,,豫园差评
M49****0426,1分,不佳,景色1,趣味2,性价比1,哪哪都是人，玩个寂寞,IP属地:北京,,,,,豫园差评
M30****211,2分,一般,景色2,趣味2,性价比2,不咋好看啊,IP属地:青海,,,,,豫园差评
匿名用户,2分,一般,景色3,趣味3,性价比1,强烈不推荐，大家千万别犯懒。这种推荐的少看，是旅行社自己的人，各种推诿、各种等，半天也不来，然后没等你进去就显示已经消费，还不能退！！！一定自己订携程可退的门票，船票分开的那种，提前、提前、提前！船票有含餐和不含餐两种，想订个含餐的看晚了啥都没了，耽误事没商量！自己订、自己订、自己订，多翻翻多看看！豫园很好，买票体验很差！,IP属地:上海,,,,,豫园差评
M83****7364,1分,不佳,景色1,趣味1,性价比1,垃圾，取票时间就一个小时，错过就不行，霸王条款，建议关门,IP属地:上海,,,,,豫园差评
匿名用户,1分,不佳,景色2,趣味1,性价比1,第一次觉得40元是如此的贵,IP属地:福建,,,,,豫园差评
320****564,1分,不佳,景色1,趣味1,性价比1,人太多，指路不明,IP属地:湖南,,,,,豫园差评
M49****3371,1分,不佳,景色1,趣味1,性价比1,太无聊了，别去,IP属地:上海,,,,,豫园差评
M68****9375,2分,一般,景色2,趣味2,性价比2,人太多，紧慎选择,IP属地:广东,,,,,豫园差评
_wap1****9016,1分,不佳,景色1,趣味1,性价比1,体验很不好，商家还推卸责任。住的也不好房间小的可怜。露台也都是通着的,IP属地:北京,,,,,豫园差评
