"user_detail_name","user_detail_tags_text","text","text 2","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","img src 6","img src 7","img src 8","img src 9","img src 10","img src 11","img src 12","img src 13","img src 14","img src 15","img src 16","img src 17","iplocation","like_content 2"
"鲲哥爱旅游","铂金贵宾","5分","超棒","趣味5","性价比5","2024-08-18 发布点评","‌青城山，位于‌四川省成都市‌都江堰市西南，是四川省著名的风景名胜区和道教名山。它不仅是国家AAAAA级旅游景区，还是‌世界文化遗产地，被誉为“青城天下幽”，以其幽静深邃的自然风光和丰富的道教文化著称。青城山分为前山和后山两部分，前山以丰富的文物古迹和道教文化为核心，后山则以自然风光和休闲度假为主，为游客提供了不同的游览体验。
    青城山的历史可以追溯到东汉时期，当时著名的道士‌张道陵在此结庐传道，创立了道教，使得青城山成为了中国道教的发祥地之一。青城山不仅因其自然美景而闻名，还因为其深厚的文化底蕴和宗教意义受到游客的青睐。","https://dimg04.c-ctrip.com/images/1mh1b12000f5xbxrk64EA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0g12000f5x1nrt09E8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3212000f5x7fauECB7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6k12000f5xka4m298D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4d12000f5x5n4fC0C3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0m12000f5xa90f7A9B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0y12000f5xa6u06566_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6b12000f5x7siq9893_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6w12000f5x8i7v971B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6h12000f5xdbhm9EF8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0q12000f5xfil71976_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6012000f5xbehq64DF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh7312000f5xh4e33057_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5h12000f5xaf8213D4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6b12000f5xigeg80E4_D_180_180.jpg?proc=autoorient","IP属地:黑龙江","5"
"银老先生","铂金贵宾","5分","超棒","趣味5","性价比5","2025-03-02 发布点评","这个是中国四大道教名山之一，太值得多次去了。第一次去就感觉风景秀丽，简直就是一幅山水画卷。第二次去就深入感觉到了道家的文化深厚，道，让人们懂得了工作、生活、学习及人生的道理。第三次去就更加熟悉，想更想去了解这坐山的内涵和特色，特别是在电影、电视剧上看到的青城派传奇武功。青城山虽然不是很高，但是来这里游览，配套设施很是齐全，有缆车上下山，甚至还可以坐四川那种竹子滑竿游玩，很是有趣。这个山是蜀地第一山。","https://dimg04.c-ctrip.com/images/1mh1l12000itv5gem3279_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4412000itvphw27CFC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1g12000itvpm8z27A0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5p12000itv2fyfFF16_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4b12000itv92hnCB57_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2812000itvn72r9553_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3312000itv9f5pC9BC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4h12000itvi5jz807E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3p12000itvquclA537_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4n12000itvjkr5A559_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1v12000itvs3jy6E46_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4r12000itvcn62CD7A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000itvqx5z6451_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1k12000itvp9of4D3C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0l12000itvjvv57BD2_D_180_180.jpg?proc=autoorient","IP属地:陕西","4"
"邹世平","铂金贵宾","5分","超棒","趣味5","性价比5","2024-11-09 发布点评","📍青城山·𝙦𝙞𝙣𝙜𝙘𝙝𝙚𝙣𝙜𝙨𝙝𝙖𝙣
“拜水都江堰，问道青城山”

👫幽静解烦忧，人景皆是仙。乘观光车抵达“西蜀第一山”，徒步至月城湖，环湖走到索道处，沿着上清宫-全真观-天师洞-祖师殿-大赤天宫抵达顶部老君阁，最后乘坐索道下山，再徒步下山。全程步行4小时，打卡青城山最高海拔2434米。
青城山云雾缭绕，真的是仙气飘飘美极了[色]。","https://dimg04.c-ctrip.com/images/1mh5o12000gl6c9mg7AE8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000gl6gle73BFC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2112000gl6ei8s3BD5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4c12000gl6bf2rAF0F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2w12000gl6p91pE7AA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6q12000gl6hes45453_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0k12000gl6dhrdACC1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5c12000gl5zy2e6BCA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0c12000gl5suaeCBA4_D_180_180.jpg?proc=autoorient","","","","","","","IP属地:重庆","1"
"203****723","","5分","超棒","趣味5","性价比5","2025-05-01 发布点评","青城山灵气仙逸，上山人感觉清新舒爽。登上老君阁，眺望远处层层叠叠的峰峦，无比自豪能见证大自然的美。远处的雪山更是引起感叹惊呼。导游庄小明必须五星好评👍👍👍从一大早接上车到青城山再到都江堰，都安排的妥妥的，尽心耐心令人安心放心，点赞！","https://dimg04.c-ctrip.com/images/1mh6d12000kafq7ziC994_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2k12000kafn48g3FFB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6j12000kadbrw71712_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6d12000kafs97214AF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3j12000kagi8ri0ABB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6i12000kacwy644826_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1312000kadmsbf8338_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5z12000kaf1n4i47CE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000kadcf30CBF8_D_180_180.jpg?proc=autoorient","","","","","","","IP属地:四川",""
"印象西南","黄金贵宾","5分","超棒","趣味5","性价比5","2025-04-11 发布点评","青城山一日游，邂逅山林间的逍遥时光
 
这次青城山一日游，真的太让人难忘啦！
 
交通超便利，从成都犀浦站坐高铁，二十来分钟就到青城山站，出站就能换乘观光车直达景区门口，一路顺畅。
 
我选的是前山，门票80元 ，性价比还不错。一进景区，满眼翠绿，微风一吹，清新的草木香扑面而来，“青城天下幽”果然名不虚传！沿着蜿蜒的山路前行，路边时不时有涓涓细流相伴，走累了就坐在溪边石头上，把脚伸进水里，凉意瞬间从脚底传遍全身，暑气全无。
 
前山的道观是一大亮点，建福宫庄严肃穆，天师洞历史悠久，殿内香烟袅袅，道乐悠悠，让人不自觉沉浸在浓厚的道教文化氛围里。我还幸运地看到了道士们的早课，他们身着道袍，动作整齐，诵经声抑扬顿挫，仪式感满满。
 
为了保存体力，我选择索道上山、徒步下山。索道缓缓上升，脚下是郁郁葱葱的山林，远处山峦起伏，风景美不胜收。下了索道再走一小段路就到了老君阁，站在阁顶，极目远眺，连绵的青山、缭绕的云雾尽收眼底，那种“会当凌绝顶，一览众山小”的感觉太棒了！下山途中，经过朝阳洞、掷笔槽等景点，每一处都有独特的传说故事，给青城山增添了几分神秘色彩。
 
游玩途中也有些小遗憾，周末游客比较多，在一些热门景点拍照得排队。山上的食物价格偏贵，一碗普通的面条要30元。建议大家自带一些小零食和水，既能省钱又能随时补充能量。如果时间充裕，一定要去后山看看，听说那里的自然风光更秀丽，飞瀑流泉，峡谷栈道，又是另一番美景。
 
青城山一日游，让我远离城市喧嚣，收获了内心的宁静与放松。如果你也渴望亲近自然、感受历史文化，不妨来青城山走一走，相信你也会爱上这里！","https://dimg04.c-ctrip.com/images/1mh5d12000jpyrerq77D5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6612000jpz6o6e027C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2c12000jpywgxf9167_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000jpz5el982C2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4l12000jpy2ltv645D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5f12000jpz47cjEF61_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5m12000jpz166w79A4_D_180_180.jpg?proc=autoorient","","","","","","","","","IP属地:四川",""
"风物漫行","","4分","满意","趣味4","性价比4","2025-03-28 发布点评","青城山以其“幽”冠绝天下，融合自然奇景与千年人文，是成都近郊不可错过的世遗胜地。推荐理由与亮点如下：
 
1️⃣道教圣地，文化底蕴深厚
作为道教发源地之一，青城山拥有近2000年道教历史，天师洞、建福宫等宫观保存完好，香火绵延，是探寻道家哲学与古建筑艺术的活化石。
 
2️⃣自然与人文的极致融合
前山以道观亭阁掩映葱郁林木间闻名，徒步可感受“丹梯千级，曲径通幽”的意境；后山则以飞瀑、深潭、原始森林构成山水画卷，适合避暑与深度徒步。
 
3️⃣世界文化遗产的双重魅力
与都江堰水利工程共同列入世界遗产，游览时可串联安澜索桥、鱼嘴分水堤等水利奇观，感受古人智慧。
 
4️⃣特色体验丰富多元
青城武术（国家级非遗）、洞经古乐（唐宋遗音）提供沉浸式文化体验；后山的高品质民宿与温泉（如青城道温泉）则满足康养度假需求。
 
5️⃣四季皆景，摄影天堂
春赏绿意，秋观层林，云雾缭绕的冬季更添仙气。前山建筑适合人文摄影，后山溪流与都江堰水利工程则是风光大片绝佳取景地。
 
青城山以“幽”为魂，集自然之灵、文化之韵、养生之趣于一体，是短途游的理想选择。","https://dimg04.c-ctrip.com/images/1mh5m12000jd813e17024_D_180_180.png?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6b12000jd8yt1a613D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6j12000jd8ev2h771E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1512000jd8hmmhC464_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1x12000jd8zx8579FE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3812000jd8c3z95340_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1b12000jd8usz524BB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1612000jd8269s717C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2h12000jd8qxnc0412_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1v12000jd92qiq5CC9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0212000jd8701e57E7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6k12000jd9bltiDBAD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5712000jd8rnbv08FE_D_180_180.jpg?proc=autoorient","","","IP属地:四川","2"
"下班就跑","铂金贵宾","5分","超棒","趣味5","性价比5","2025-01-14 发布点评","《西游记》是小时候最喜欢的电视剧没有之一，而且是看过无数遍的那种。
没想到青城山还有很多86版《西游记》的取景地。
第一次知道青城山还是电视剧《新白娘子传奇》里那句“青城山下白素贞”
这次从云南返回河北，路过青城山，朋友约着去青城山前山徒步，一个一个挨着打卡了。
果然山连山，岭连岭，山岭重叠，怪石横生。
不愧是中国神话故事出处最多的地方。","https://dimg04.c-ctrip.com/images/1mh4812000hrv4irz03EE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3t12000hrv4xc22364_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3e12000hrvegu7920C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2712000hrvtsxjED55_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6z12000hrvea1uFDE6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0d12000hrv1chz2F3C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6y12000hrun35dAD1D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5k12000hrvh8g4B488_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000hrvfzdi65B0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2k12000hrva496AA5A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000hrvflyq4F87_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6h12000hrumlyuF039_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1812000hrvnqvcE1FE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6w12000hruzto2B579_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2412000hrvnqve1FDD_D_180_180.jpg?proc=autoorient","IP属地:河北",""
"M49****9023","铂金贵宾","5分","超棒","趣味5","性价比5","2025-01-12 发布点评","准确来说是青城前山，小时候就来了无数次，这次来别有一番滋味，后山主要是爬山，欣赏山水风景，前山是道观，青城山全国闻名，是道教圣地之一，来了完全不虚此行，价格也不贵，八十元，一般来说，从山底爬到山顶老君阁需要三个小时，来回六个小时，还是需要一定的体力，人也非常多，有旅行团也有自己来的，到了老君阁，非常震撼，上清宫也印象深刻，我喜欢看介绍，介绍的非常详细，也能增长不少知识，希望青城山保护的更好。","https://dimg04.c-ctrip.com/images/1mh5s12000hqhw8m4228F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3712000hqibz0w96BF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0p12000hqi29pm4DF0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1a12000hqgu8rl3DBA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4p12000hqhf7cdF664_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4312000hqi1f9f8679_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000hqif4h5E978_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6012000hqibgu76E57_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0a12000hqh8oet1D4D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0512000hqher1q4A72_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2412000hqi46q3C461_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3112000hqhj0v0DF18_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1b12000hqhk4ktC2F0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4b12000hqi9mwdDCDE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3312000hqieqs8ADF1_D_180_180.jpg?proc=autoorient","IP属地:四川",""
"奔赴那片海","","5分","超棒","趣味5","性价比5","2024-11-20 发布点评","❤️青城山作为5A级景区，不管是旅游设施，服务质量，景区管理等都有着较高的标准，非常值得一去，它有以下的亮点

✨ 自然风光：青城山以其秀丽的山峰、茂密的森林和清澈的溪流而闻名。你可以漫步在山间小道上，欣赏到青山绿水、瀑布飞泉的美景，感受大自然的宁静与美丽。

✨ 道教文化：青城山作为道教发源地之一，青城山有着丰富的道教文化遗产。

✨ 历史遗迹：青城山保存了许多历史悠久的建筑和遗迹，如上清宫、天师洞等。

✨ 清新空气：青城山的空气质量非常好，富含负氧离子，是一个天然的氧吧。

✨ 登山体验：青城山有许多登山步道，适合喜欢徒步和挑战的游客。","https://dimg04.c-ctrip.com/images/1mh4m12000grq04ov7D5D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3412000grpwu8gE56D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3h12000grppzys0308_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5i12000grq04ox6034_D_180_180.jpg?proc=autoorient","","","","","","","","","","","","IP属地:浙江","2"
"天天Hailey妈咪","钻石贵宾","5分","超棒","趣味5","性价比5","2024-11-18 发布点评","青城天下幽！夏天游览是不错的选择，纳凉避暑好去处。成都出发可以高铁出行方便，游览时间4小时左右。山上风景如画茂密的森林把人带到了原始年代，现代化的酒店及游乐场所又让人尽情享受。","https://dimg04.c-ctrip.com/images/1mh3r12000gqwlik62650_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1f12000gqweppf0360_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6r12000gqxcin986BE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6w12000gqwkj8e940A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6z12000gqx560a1A1B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4412000gqwnnbq3F5C_D_180_180.jpg?proc=autoorient","","","","","","","","","","IP属地:四川",""
