"user_detail_name","text 3","text 4","text 5","resource_date_text","content_wrap","img src 3","img src 4","img src 5","img src 6","img src 7","img src 8","img src 9","img src 10","img src 11","iplocation","like_content 2","user_detail_tags_text","img src 12","img src 13","img src 14","img src 15","img src 16","img src 17"
"亮哥来打卡","景色5","趣味5","性价比5","2025-01-29 发布点评","成都杜甫草堂-追忆诗圣足迹

成都，这座充满魅力的历史文化名城，孕育出无数瑰宝，杜甫草堂便是其中一颗璀璨的明珠。✨✨✨✨✨

它宛如一部立体的史书，静静诉说着诗圣杜甫的故事，吸引着四方游客前来探寻。🤔

草堂概况	🍁
杜甫草堂占地广袤，建筑风格古朴典雅，融合了传统园林之美。🌴🌴

这里的一草一木、一砖一瓦都散发着浓厚的文化气息，🌴既是对杜甫的缅怀与纪念，更是中国古代诗歌文化与园林☘️艺术完美结合的典范。

漫步其中，仿佛能看到杜甫在此吟诗赋词、忧国忧民的身影。👣👣

相传公元 759 年的冬天，为避“安史之乱”，杜甫携家带口，从陇右入蜀。

在亲友的帮助下，于成都西郊那风景如画的浣花溪畔，一座茅屋拔地而起，“成都草堂”就此落成。🏡

在这里，杜甫的诗歌创作大多洋溢着田园的气息，《堂成》《江村》《春夜喜雨》等诗篇犹如一幅幅清新的田园画卷，💋展现在我们眼前。

而《茅屋为秋风所破歌》《恨别》《病桔》《枯棕》等作品，则以其深刻的现实主义笔触，触动着人们的心灵，成为不朽之作。👌🏻

当我们来到草堂的正门，一条波光粼粼✨✨的河流环流而过，这便是杜甫诗中屡屡提及的浣花溪。🌿🌿

🤔关于“浣花溪”这诗意名字的由来，还有着一段动人心弦的故事。👉

相传，唐朝时有一位姓任的姑娘居住在溪边，她不仅容貌美丽，更有一颗善良的心。一日，她在溪边洗衣时，遇到一位浑身疮痍的和尚，旁人皆避之不及，唯有她毫不避让。🍀🍀🍀

和尚脱下沾满脓血的袈裟请她浣洗，任姑娘欣然应允。神奇的是，袈裟一入水，满溪瞬间绽放出朵朵莲花，再看那和尚，却已消失得无影无踪。人们惊叹不已，从此便将这条河命名为浣花溪。🍀🍀🍀

浣花溪在唐代江阔水深，能行大舟，其畔风光旖旎。🛶🛶

杜甫的《绝句》生动地描绘了这一美景:
“两个黄鹏鸣翠柳，一行白鹭上青天。窗含西岭千秋雪，门泊东吴万里船。”🍁正门匾额“草堂”二字，乃是清代康熙皇帝的第十七子、雍正皇帝的弟弟果亲王所书，笔力苍劲，韵味悠长。🍂🍂🍂","https://dimg04.c-ctrip.com/images/1mh5e12000i51j6ne3F48_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0d12000i50vxbaB22A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5u12000i50zsb41CC2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2k12000i52f0puECA1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6912000i52eo7cC256_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1c12000i52ldkg4C12_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1d12000i51gh70C97E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2a12000i524wsqBCA8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4a12000i51m0mcE463_D_180_180.jpg?proc=autoorient","IP属地:浙江","5","","","","","","",""
"语若及日中","景色5","趣味5","性价比5","2024-12-27 发布点评","非常值得去！
成都的一张文化名片～～杜甫草堂
    1、了解诗圣杜甫的身平，感受他对民生的深切关怀和对理想的执着追求。
    2、 感受历史文化：杜甫草堂是中国文学史上的重要遗址，保存了大量与杜甫相关的文物和资料。
   3、  欣赏自然美景：草堂环境清幽，有数个露天茶园，小桥流水，梅园竹林，错落有致，构成了一幅宁静而雅致的画卷了。
    多个重要景点，以前已展现，这次就不在重复。如需了解更多，敬请看以前发的“诗圣流芳”、“遇见诗圣”。","https://dimg04.c-ctrip.com/images/1mh6w12000hfs6nr460CD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4l12000hfsueugAE6C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5a12000hfskxst133C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6m12000hfsl19aD485_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2u12000hft00qs8411_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1412000hfs7azo3FD9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6c12000hfsj27q5FE6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4i12000hfsxchw5118_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6612000hft5rey181D_D_180_180.jpg?proc=autoorient","IP属地:四川","2","钻石贵宾","https://dimg04.c-ctrip.com/images/1mh3o12000hfsyovx5A69_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1i12000hftdnn98937_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6512000hfsjcttEFE2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2s12000hfsts9lBD10_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5h12000hft43u30A6F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1y12000hfszoblEE8A_D_180_180.jpg?proc=autoorient"
"蛋不炒番茄🍅","景色5","趣味5","性价比5","2025-05-02 发布点评","杜甫草堂值得去
        文化底蕴：杜甫草堂是唐代大诗人杜甫的故居，这里展示了丰富的历史文化，是了解杜甫及其诗歌的绝佳之地。
        学自然风光：草堂内外绿植丰富，竹林幽深，荷花池畔景色如画，仿佛置身于一幅活生生的山水画卷。
        环境宁静：这里环境清幽，空气湿润，是远离城市
喧嚣的理想之地，适合放松心情，修心养性。
      诗歌灵感：杜甫在此创作了众多脍炙人口的诗篇，漫步其中，仿佛能感受到诗人的灵感与情怀。
血历史见证：草堂不仅是文学圣地，更是历史的见证者，展现了唐代文人雅士的生活氛围。

亮点：杜甫草堂以梅花为媒，融合诗歌、非遗、展览、演出等多重元素，既展现诗圣文化的深厚底蕴，又通过现代互动形式让传统文化焕发新活力，成为成都新春文旅的标杆。","https://dimg04.c-ctrip.com/images/1mh4u12000kb495qfEA81_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2w12000kb3pbm230D1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1s12000kb2v12f17CB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5112000kb1rfjf6275_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2y12000kb2xx2a1B84_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2w12000kb2fbf6B69B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2y12000kb42mq9E4CC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2r12000kb3sso0D465_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6d12000kb3arak74EB_D_180_180.jpg?proc=autoorient","IP属地:云南","1","","https://dimg04.c-ctrip.com/images/1mh2312000kb26q8a838D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4n12000kb3b9am7E61_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0n12000kb27pin466A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0f12000kb2447s933C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0b12000kb1vthi9FF7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5x12000kb36gx99FB6_D_180_180.jpg?proc=autoorient"
"印象西南","景色5","趣味5","性价比5","2025-01-15 发布点评","成都杜甫草堂，作为中国唐代大诗人杜甫流寓成都时的故居，是一处充满历史韵味与文化底蕴的圣地。这里不仅完整保留了明清时期的建筑风貌，更通过丰富的展览和活动，生动展现了杜甫的生平事迹与诗歌创作成就。漫步其间，仿佛能穿越时空，感受到杜甫当年生活的艰辛与创作的激情。同时，草堂内的园林景观与诗意氛围相得益彰，让人在欣赏美景的同时，也能深刻体会到杜甫诗歌中的深邃意境与人文情怀。无论是对于文学爱好者还是普通游客来说，成都杜甫草堂都是一处不可多得的文化瑰宝，值得一游再游。","https://dimg04.c-ctrip.com/images/1mh4912000hszbic61D18_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1412000hszbyor9325_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2012000hszs9w37F5F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0b12000hszrjug461A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1312000hszub9iCAD9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6e12000hszsob48192_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4312000hszid7u7EBB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3612000ht02m0jED23_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5q12000hszivm7FB13_D_180_180.jpg?proc=autoorient","IP属地:四川","1","黄金贵宾","","","","","",""
"行走在民间的艺术家","景色5","趣味5","性价比5","2025-02-11 发布点评","成都杜甫草堂是一处极具文化底蕴的旅游胜地。踏入其中，仿佛穿越时空，回到了诗圣杜甫生活的时代。

草堂的建筑古朴典雅，大廨、诗史堂、工部祠等建筑沿中轴线排列，庄重而肃穆，承载着厚重的历史气息。少陵草堂碑亭，那四个大字笔力浑厚，是草堂的标志性景观。园林景观更是美不胜收，绿树成荫，翠竹苍松，梅苑、兰园等点缀其中，与古建筑相得益彰，营造出清幽静谧的氛围。
 
在这里，还能通过馆内陈列的文物、资料，深入了解杜甫的生平事迹和诗作精华，感受他忧国忧民的伟大情怀。无论是文学爱好者还是普通游客，都能在这里收获颇丰，不仅能欣赏到美丽的风景，还能接受传统文化的熏陶，是一次非常有意义的游玩体验。","https://dimg04.c-ctrip.com/images/1mh1612000igtdj45D026_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5m12000igtdykbDDAA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4q12000igtcfjk35AC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2312000igtcgq4315D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3s12000igtdtbcE2BD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2212000igtf2sc2184_D_180_180.jpg?proc=autoorient","","","","IP属地:四川","","","","","","","",""
"锁屏拉风","景色5","趣味4","性价比5","2025-02-09 发布点评","在草堂中，我特别喜欢那处名为“工部祠”的地方。这里供奉着杜甫的塑像，香火不断，前来瞻仰的人们络绎不绝。每当有人轻声诵读杜甫的诗句时，我都能感受到一种跨越千年的共鸣与感动。这些诗句，不仅仅是文字的堆砌，更是杜甫对那个时代、对人民生活的深刻洞察与真挚情感的流露。","https://dimg04.c-ctrip.com/images/1mh1x12000ievbveiA353_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0812000ievbbl8BDD1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4v12000iewd6uf1364_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3q12000iew8ldzC1A6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2l12000ievb0yf272C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1z12000iew94n36726_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2b12000ievr34fA79A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6o12000ievp34xB32B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4e12000iewhadw0B73_D_180_180.jpg?proc=autoorient","IP属地:湖北","","","https://dimg04.c-ctrip.com/images/1mh3a12000iev0q5n753E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0112000iew7k7aEB90_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5o12000ieuk4r9058C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2r12000iewawju1BCB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4a12000ievc12599C5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3g12000ievcaa5ED1D_D_180_180.jpg?proc=autoorient"
"e03****72","景色5","趣味5","性价比5","2024-10-13 发布点评","这里风景如画，适合散步和拍照。园内绿化良好，花草树木、水塘小河以及精致的盆景都为游客提供了一个宁静舒适的游览环境。此外，园内的文创产品也很有意思，从传统书法作品到现代设计的纪念品，各种风格都有，适合带回家纪念‌和送友人。

杜甫草堂不仅以其优美的自然景观和宁静的环境吸引游客，更重要的是其深厚的文化底蕴。作为唐代伟大现实主义诗人杜甫流寓成都时的故居，草堂内保存了许多与杜甫相关的历史遗迹和文献资料，每一处都充满了文化的气息。","https://dimg04.c-ctrip.com/images/1mh5l12000g40woj78443_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6t12000g41rdmm73EF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2z12000g40pk1m0D28_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6d12000g41uk7y7838_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0a12000g413zk8E711_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000g40vbr35BF3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0w12000g4267q19DC3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4r12000g4207yc232F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2q12000g41exnq96A5_D_180_180.jpg?proc=autoorient","IP属地:四川","","铂金贵宾","https://dimg04.c-ctrip.com/images/1mh5c12000g417bgb5A66_D_180_180.jpg?proc=autoorient","","","","",""
"鲲哥爱旅游","景色5","趣味5","性价比5","2024-07-29 发布点评","杜甫草堂占地面积近300亩，仍完整保留着明弘治十三年（1500年）和清嘉庆十六年（1811年）修葺扩建时的建筑格局，照壁、正门、大廨、诗史堂、柴门、工部祠排列在一条中轴线上，两旁配以对称的回廊与其它附属建筑。草堂内珍藏有各类资料3万余册，1955年成立杜甫纪念馆，1985年更名为成都杜甫草堂博物馆。","https://dimg04.c-ctrip.com/images/1mh2p12000exji1p344A9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6i12000exjqi3wD4AC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4m12000exjwcg188CB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2x12000exjpvbsE1E1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6912000exjda2mD288_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2j12000exjkpcy29B4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4n12000exjuqrv8EE7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5j12000exjueyw5213_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2q12000exjy3b8E6DF_D_180_180.jpg?proc=autoorient","IP属地:黑龙江","","铂金贵宾","https://dimg04.c-ctrip.com/images/1mh2r12000exjz3ls7B53_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5412000exjm1v13B49_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6e12000exjq5pn5D05_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4l12000exjtvmo8DA6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3s12000exjqf1jF646_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2012000exjq3zw78ED_D_180_180.jpg?proc=autoorient"
"M43****2278","","","","2025-02-08 发布点评","草堂人很多。听导游讲解后，更深入了解伟大诗人，杜甫所处时代背景，国家处在战乱之中，诗人携家带口，生活上颠沛流离，仍怀一颗忧国忧民之心。许多诗作是当时社会的真实写照","https://dimg04.c-ctrip.com/images/1mh5r12000idtujzg33A6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0j12000idtzny41BA7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0q12000idsu0s64217_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1812000idu3msx5A38_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1512000idtxwtd5FCA_D_180_180.jpg?proc=autoorient","","","","","IP属地:安徽","","铂金贵宾","","","","","",""
"M63****3520","景色5","趣味5","性价比5","2025-04-25 发布点评","周末，我怀着敬仰之情，踏入了杜甫草堂。阳光透过古树的缝隙，洒在青石小径上，仿佛穿越了时空，带我走进了诗圣的世界。

草堂的建筑古朴典雅，青瓦白墙，飞檐斗拱，处处透着古韵。漫步其中，仿佛能听到杜甫吟哦的声音。我来到茅屋前，那低矮的草屋，简陋却温暖，让我想起《茅屋为秋风所破歌》中诗人对百姓的悲悯。屋内陈列着笔墨纸砚，仿佛诗人刚刚离去，墨香犹存。

穿过小径，来到大廨，杜甫的雕像屹立其中，他目光深邃，凝视远方，手中紧握着笔，仿佛在思考着国家的命运。我站在雕像前，心中满是敬意，他一生坎坷，却用诗歌记录时代，抒发情感，成为千古传颂的诗圣。

杜甫草堂不仅是一处景点，更是一本厚重的历史书，让我感受到了诗人的伟大与不朽。","https://dimg04.c-ctrip.com/images/1mh0e12000k2ugwbv1AB6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6a12000k2uujh5A271_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3x12000k2t73529C00_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5d12000k2vlubiBD71_D_180_180.jpg?proc=autoorient","","","","","","IP属地:河北","","","","","","","",""
