"user_detail_name","user_detail_tags_text","resource_date_text","content_wrap","img src 3","img src 4","img src 5","img src 6","img src 7","img src 8","img src 9","img src 10","img src 11","img src 12","img src 13","iplocation","like_content 2","switch_all"
"waili18","黄金贵宾","2025-03-15 发布点评","上海标志性的旅游景点。古典加现代的综合体现。吃喝玩经济文化于一体。有许多美食小店。在特定的季节会搞一些。比较有意义，特定的节目。比如灯会。购物体验也不错。
【景色】豫园灯会九曲桥，晚上夜景不错。还有免费的巧克力博物馆。古典园，林豫园。
美食的话。有很多传统的美食店。

美食。","https://dimg04.c-ctrip.com/images/1mh1c12000j3c262984BE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5112000j3br6hd4655_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5412000j3cw3miD549_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0z12000j3clco8FB05_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3b12000j3d6dq8EB29_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5512000j3bxdzu22AB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1e12000j3cx93fDFE7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1o12000j3bv6zc3764_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3s12000j3c4raz9037_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3l12000j3d5tas4628_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1012000j3cqvk97EA0_D_180_180.jpg?proc=autoorient","IP属地:上海","10",""
"Annie长翅膀的喵","黄金贵宾","2025-01-19 发布点评","每年春节前后，上海豫园灯会都是非常吸引人的去处。
       2025年的豫园灯会，从1月1日起至2月12日，共计持续42天，延续“山海奇豫记”的主题故事。
       一路逛，很多山海经的百鸟百兽，还有小蛇宝宝，不错哦。","https://dimg04.c-ctrip.com/images/1mh3n12000hwsik5x8DFB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1312000hwsbnk5E658_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000hwrjrlp4C9B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3r12000hwsbphq5208_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0912000hwss4wy8F25_D_180_180.jpg?proc=autoorient","","","","","","","IP属地:上海","10",""
"Annie长翅膀的喵","黄金贵宾","2024-11-04 发布点评","豫园位于上海市黄浦区福佑路168号，是一座具有深厚历史文化底蕴的江南古典园林。
       豫园体现了明清两代南方园林“清幽秀丽、精致玲珑”的艺术风格，园内楼阁参差，山石峥嵘，湖光潋滟，素有“奇秀甲江南”之誉。
       到豫园，逛一逛九曲桥，看一看花灯，吃一下美食小吃，很丰富的呢。","https://dimg04.c-ctrip.com/images/1mh4d12000ghtdl8w010D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2912000ght8z13040A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2r12000ght5v7i6B9C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0212000ghsvc5p94EB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000ghsx7ybAFA3_D_180_180.jpg?proc=autoorient","","","","","","","IP属地:上海","7",""
"烟00雨","黄金贵宾","2024-10-29 发布点评","豫园是上海城隍庙里著名的江南古典园林，是游客来上海必打卡的景点。
🌼历史背景：
- 始建于明代嘉靖、万历年间，是四川布政使上海人潘允端为父亲安度晚年而修建，取“豫悦老亲”之意得名。后因家道中落，豫园曾几易其主。后豫园历经了战乱等破坏，曾多次复原与重修，1961 年正式开园，1982 年被列为国家重点文物保护单位，2021 年被评定为国家 AAAA 级景区。
🌸园林特点：
     小而精巧，运用了借景、漏景、框景、对景等手法，营造出丰富的景观层次和意境。园区内呈刀型布置，布局狭长，景致自然，有幽深曲折、移步换景的特点。
🌺厅和堂是园林的主体建筑，其中：
- 三穗堂：位于园区南侧，主要建筑三穗堂正中悬挂“三穗堂”匾额，“三穗”寓意丰收。堂内还悬挂有“城市山林”“灵石经使”等匾额。仰山堂在三穗堂后方，可在此凭栏远眺大假山。
- 万花楼：鱼乐榭小巧精致，周围绿茵覆盖，是观鱼赏景的好去处。万花楼原为明代花神祠，楼下漏窗有“梅、兰、竹、菊”图案，园内还有一棵四百多年的古银杏树。
- 点春堂：点春堂由清代福建花糖业商人所建，曾是 1853 年小刀会起义的指挥所，具有重要的历史意义。打唱台花纹繁复，四根石柱上有描绘四季之景的楹联。和煦堂面山背水，气候适宜。
- 会景楼：位于豫园中心位置，登楼可览全园景色，三面环水，周边景色宜人。积玉水廊连通会景楼和涵碧楼，是江南园林中最长的水廊。
- 玉华堂：玉华堂原为园林主人潘允端的书房，后经重修。堂内陈列着文房四宝、明代紫檀木画案等珍贵物品。玉玲珑与环龙桥相对，是豫园的镇园之宝，与苏州冠云峰、浙江邹云峰并称为“江南三大奇石”。听涛阁临近黄浦江，在此可隐约听见江水声，常举办书画展与文物展。
✨特色活动：
- 元宵、中秋灯会：是上海老城隍庙的年俗，异常的热闹，强烈推荐灯会前后来打卡。
📌豫园开放时间:9:00-16:30（16:00停止入园，16:30清场），每周一闭园。
      豫园商城:10:00-22:00","https://dimg04.c-ctrip.com/images/1mh4j12000gd7sa0r7605_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1v12000gd7zbut1E0A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2712000gd7uy9jBBFC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4712000gd7kgqk1617_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2w12000gd7qpif6014_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0612000gd7x4pc732D_D_180_180.jpg?proc=autoorient","","","","","","IP属地:上海","3","全文"
"没想到的小猪","","2025-01-18 发布点评","宝子们欢迎来到我的介绍烂
亮点特色
慢悠悠的漫步于园林
随处可见来游玩的外国友人们
白天跟夜晚的景不一样，白天明媚日光下一片欣欣向荣
夜晚在灯火阑珊下一片灯火通明宏伟壮观豫园素有城市山林的美誉，是江南古典园林，始建于明朝朝，距今已有四百多年的历史。
增交通攻略：
地铁10号线豫园站下车，步行即达，超便捷；公交可选980路、930路等多条线路。
行程安排：
游玩路线：从九曲桥南门进，一场古韵之行就此开启。沿着大假山、万花
春堂
会景楼、玉玲珑的顺序
必打卡景点：
1．豫园花园：踏入便仿若闯入江南水墨画境，楼阁精巧错落，山石百态峥嵘，草木葱茏欲滴步一景皆诗意，尽显江南园林的婉约细腻。
2．九曲桥： 蜿蜒九曲似游龙卧波，伫立桥上，赏四周湖光潋滟，古建筑飞檐翘角倒映水中，人潮3．大假山：明代名家张南阳的匠心巨制，豫园地标担当。攀石径、赏怪石，趣味丛生，山下湖活动","https://dimg04.c-ctrip.com/images/1mh2v12000hvrc9vcF10B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3t12000hvr2dxhCB18_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1u12000hvrs6aw5E26_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2p12000hvrt14q8EAE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5s12000hvqtcsu43B4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4h12000hvrsyce00A1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3i12000hvrnqwk127D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2812000hvreqha82D4_D_180_180.jpg?proc=autoorient","","","","IP属地:新疆","1",""
"M83****3134","","2024-12-03 发布点评","豫园始建于明代嘉靖、万历年间，已有450余年历史，占地30余亩，与露香园、日涉园合称为“明朝上海三大名园”，名列现存的上海五大古典名园之首，为国家AAAA级旅游景区。
        豫园原是明代的一座私人园林，园主人潘允端曾任四川布政使，其父潘恩官至都察院左都御史和刑部尚书。潘恩年迈辞官告老还乡，潘允端为了让父亲安享晚年，经过20余年的苦心经营建成了豫园，在明代中后期被公认为“东南名园之冠”。
         豫园有着典型的江南园林风貌，体现了明清两代南方园林“清幽秀丽、精致玲珑”的艺术风格，园内还保存着相当数量的古树名木及明清家具、名人字画、泥塑砖雕、额匾楹联等文物珍品，凝聚着丰富的中国传统文化艺术的精华。
        1982年2月，豫园被中华人民共和国国务院公布为第二批全国重点文物保护单位。","https://dimg04.c-ctrip.com/images/1mh2n12000h03hhuxEBB5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0m12000h03na3gC170_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0412000h035msb8B49_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1p12000h04mm0l7FF1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5p12000h04r1yu81DD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2s12000h03vwgx0160_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0612000h039t3z8950_D_180_180.jpg?proc=autoorient","","","","","IP属地:江苏","1",""
"m34****5026","黄金贵宾","2025-04-04 发布点评","值得去，从进门到出来，每一棵树，每块石头，每个窗口，园里任何东西都有它的作用和意义，然后很契合的形成一幅绝美的画面。很自然都脑海里有了那个年代一对恩爱夫妻生活的片段。房子里的家具和屏风绝美。能完美保留到现在，让我们一饱眼福。","https://dimg04.c-ctrip.com/images/1mh5k12000jjhz6yg5E1B_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2512000jjih7hc4A40_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1p12000jji73t986DA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3012000jjgwvv97FCA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6r12000jjio0yg6442_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6512000jjh2osiC421_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5u12000jji6v358066_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2n12000jji1y00F5F5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2x12000jjilce6389C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1p12000jjilc6q3E6A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3p12000jjgyjbj34DE_D_180_180.jpg?proc=autoorient","IP属地:广西","",""
"老刘一直在路上","","2025-03-04 发布点评","上海市区唯一的江南古典园林🎋隐藏玩法来了
虽然不是第一进豫园，但是每次来都会被惊艳到。豫园作为上海五大园林之首，如果来城隍庙旅游区不进园林，怎知在寸土寸金的都市中心，能有这样一片雅致婉约的江南园林是多么难得。
.
🔖上海园林名片
豫园始建于明嘉靖年间，原为明代官员潘允端的私家园林，在明代中后期被公认为“东南名园冠”。全园山环水绕，建筑物穿插于山水之间，循地形而安排，均各得其所。其造园的艺术水平，堪称江南一流。
.
💡园内亮点
▫️大假山：现在的豫园规模虽仅为明豫园的一半，但大假山仍为明代原物，也是江南园林中最大的一座黄石假山。仰山堂的平台是欣赏假山的最佳位置。
▫️点春堂：园内主体建筑，曾为咸丰年间小刀会义军领袖刘丽川的指挥所，内有晚清大画家任伯年的作品和书法家沈尹默书写的对联
▫️玉玲珑：镇园之宝，与苏州留园的“冠云峰”和杭州西湖的“绉云峰”，并称“江南三大名石”。
▫️积玉水廊：长达百米，是江南古典园林中最长的水廊
▫️古戏台：金碧辉煌，雕梁画栋，顶部有穹窿藻井，被誉为“东南第一台”
▫️穿云龙墙：龙年来豫园一定不能错过龙墙！龙身在墙脊上起伏，似游龙穿云，颇具动感
.","https://dimg04.c-ctrip.com/images/1mh0412000iuz6l1m05A2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2a12000iuz7z3z1D4E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5t12000iuz7h6w61E4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6v12000iuxiiw2849D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5f12000iuz17xnBDD6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3v12000iuyz3ls8D26_D_180_180.jpg?proc=autoorient","","","","","","IP属地:海南","",""
"暴宝妮","黄金贵宾","2025-03-02 发布点评","一眨眼的功夫，农历新年过了一个月了。豫园民俗艺术灯会千灯，华彩启幕。“三十而立”的豫园灯会，以璀璨华光喜迎新年，虽然魔都天气还有些寒冷，晚上温度很低。但是看到这样华丽夜景灯光，还是坚持来拍照打卡，沾沾街头年味儿。

马路上，可以看到全球各地的朋友们来这里感受中国传统文化和节日气氛。

中国灯会民俗以及灯彩艺术的发展，与春节这一传统节日息息相关。整个豫园以高科技光影技术打造沉浸式的节日场景。","https://dimg04.c-ctrip.com/images/1mh2j12000iu1zfc98769_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0o12000iu1c6qn1210_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6w12000iu1f3q73C0C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1f12000iu1yb3e394F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1b12000iu1f29h0004_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5e12000iu1rcx3BA3E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6c12000iu1x3b6FD5E_D_180_180.jpg?proc=autoorient","","","","","IP属地:上海","",""
"自由人1956","","2025-02-28 发布点评","上海豫园有诸多亮点，非常值得一去，具体如下：
 
历史建筑
 
- 大假山：用黄石堆砌而成，是豫园标志性景观，也是中国古典园林假山艺术代表。山上亭台楼阁、曲径通幽，登上山顶可俯瞰豫园美景。
 
- 点春堂：由清代福建花糖业商人所建，小刀会领袖刘丽川曾在此设指挥所，是重要的人民革命纪念地。
 
- 万花楼：原为明代花神祠，清代重建为“万花深处”。楼下漏窗有“梅、兰、竹、菊”，楼前有400多年古银杏树。
 
园林景观
 
- 玉玲珑：与苏州冠云峰、浙江邹云峰并称“江南三大奇石”，具“皱、瘦、漏、透”之美，以一炉香置石底孔孔烟出，以一盂水灌石顶孔孔泉流。
 
- 积玉水廊：长达百米，是江南园林中最长的水廊，北连会景楼，南连涵碧楼，游客信步其中可赏亭榭、观鱼戏。
 
- 九曲桥：桥身蜿蜒曲折，横跨碧水，与水中倒影、周围亭台楼阁融为一体，充满江南水乡韵味。
 
文化艺术
 
- 豫园灯会：2011年被列入国家级非物质文化遗产名录。每年元宵节举办，有“旱船舞”“麒麟献瑞灯”等表演，灯彩造型多样、美轮美奂。
 
- 昆曲表演：园林主人潘允端曾成立戏班子推动昆曲发展，如今豫园古戏台常有昆曲演出，游客可欣赏到原汁原味的昆曲艺术。
 
- 展览活动：定期举办书画展、兰花展等，如2023年举办的“豫园春季兰花展”，展示各类兰花品种，也为书画爱好者提供交流展示平台。
 
特色","https://dimg04.c-ctrip.com/images/1mh4c12000iste1sp07F7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0212000isupjma34D3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6012000istll0oEDE9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2y12000ists16u2F48_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5e12000isup7pv2873_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4212000isulprwA372_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6a12000isunvis3031_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6l12000istmfba7934_D_180_180.jpg?proc=autoorient","","","","IP属地:广东","","全文"
