"user_detail_name","user_detail_tags_text","resource_date_text","content_wrap","switch_all","img src 3","img src 4","img src 5","img src 6","img src 7","img src 8","iplocation","like_content 2","img src 9","img src 10","img src 11","img src 12","img src 13","img src 14","img src 15","img src 16","img src 17"
"偶尔装一下","黄金贵宾","2024-07-01 发布点评","昨天晚上，我还专门认真仔细的流览去都江堰的交通工具，乘车地点，想像观光巴士和机场大巴有什么不同，计算了充足的时间，不慌不忙的出行。结果这份认真仔细让我一大早忙的提鞋掉帽子，慌不择路，做的功课几乎都是错的。事世就是这样，你越再乎，越重视，往往带来的就是背道而驰和事与愿违。一步错，步步错。
首先，滴滴司机给我拉到不是上次乘车的地方，我又将错就错的误入乘车候车厅，门口的工作人员也没有向上次一来就检票，留给我纠错的时间，直到我带老太太上完洗手间出来才发现门口停的不像观光巴士，扫码一查，走错了。
这时离出发还有不到三十分钟，而我还不知道在哪乘车，延途问了两三个阿sir，才知道还有一段路才能到达上车的地方。
再看我，用代步车推着老太太从宽窄巷子的两端，开始从西边往东头疾驰飞奔，这是离乘车地儿穿插过去最近的距离，我边推边喊，谢谢，借过，赶车。两边的游客全將目光投向老太太，意思是，你这推的可是人，跑的比120都快，还以为我妈又咋了呢。九点多的宽窄巷子，人头攒动，摩肩接踵，我就是在这样川流不息，热闹非凡的网红打卡景点，五十多岁推着快八十岁的亲妈，脚底腿着油门，手里捏着离合器不停的换档，嘴里按着喇叭，体验着11路人力车的速度与激情，来一次致青春。
很幸运，我遇见的都是美丽善良，善解人意的游客，她们纷纷给我及时让路，让我按时抵达乘车点。
至于两边都有啥，忘的一干二净，顾不上看，记住的是遇见了这么多好心人，心里很温暖。虽然我还没到都江堰，但这一大早，在宽窄巷子的经历，虽然五味俱全，但，值得铭记于心。因为今天出行的好心情全是这里素不相识的游客带给我的，相遇即缘份。
长途客运大巴司机师傅人很普实，不擅言表，笑容可亲，主动帮我拿行李，车开了近一个小时，我依然是汗流浃背，就这，心里还直得瑟，今天早上能减一两斤。我这人没啥长处，就是心大，听劝，想的开。
都江堰，我和老太太二十多年前就来过，只不过，物是人已非，岷江依旧是秦代的岷江，南桥安静的座落在一旁，精雕细琢的牌楼，回廊庭被斑驳的岁月洗礼，依然遗世嘱目，放眼望去，两边的孔雀🦚，人物形象唯妙唯俏，魅力依旧，工匠精神让这座建筑体现的淋漓尽致。
李冰，秦朝水利部部长，了不起，不是历朝历代的皇室和官员大臣，都能像他们李冰父子二人前赴后继，干的出来这利在当代，功至千伙的丰功伟业，让我们这些后人继承这笔宝贵的利国利民财富。在此，真诚的对他们道一声，谢谢你们","全文","https://dimg04.c-ctrip.com/images/1mh4q12000emtld4l58B4_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4812000emt3k50A88A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5r12000emte946F496_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2t12000emtclgv0A4C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3y12000emtfhbe9838_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1f12000emtd4ra72F4_D_180_180.jpg?proc=autoorient","IP属地:甘肃","14","","","","","","","","",""
"印象西南","黄金贵宾","2025-01-15 发布点评","坐落在成都平原西部的岷江上，是当今世界年代久远、唯一留存、以无坝引水为特征的宏大水利工程
它最伟大之处是建堰2250多年来经久不衰，而且发挥着愈来愈大的效益  ​
成都周边游好去处 都江堰与青城后山之间 川西水乡 成都版小大理 以山水风光 古韵浪漫和原生烟火 成为成都人青睐的后花园 
算是成都周边最商业化的古镇 古镇基本上都是商业化 吃喝玩乐一应俱全 旁边有悠悠游岛 夏天还可以耍水 交通方便 成都周边游的好地方 #","","https://dimg04.c-ctrip.com/images/1mh6h12000hskfexbDDEF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4x12000hskgtb52D78_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0e12000hska9it2CB7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3f12000hsksog266E6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000hsk6jja6F1A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4t12000hskgtgq0B1B_D_180_180.jpg?proc=autoorient","IP属地:四川","2","https://dimg04.c-ctrip.com/images/1mh2h12000hskdowt6EA0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6x12000hskg1vrFEF0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4712000hskd95fCDEB_D_180_180.jpg?proc=autoorient","","","","","",""
"奔赴那片海","","2024-11-12 发布点评","❤️拜水都江堰，问道青城山，都江堰我觉得还是很有必要去的

✨都江堰是我国伟大的水利工程，它灌溉了天府之国，里面蕴含了古人的智慧，不仅仅是水利工程，还是智慧，还是美景

✨尤其是南桥下的“蓝眼泪”，无论春夏秋冬怎么变化，都江堰都有独特的魅力，在南桥看都江堰不要门票，那独特的夜景真的很美，很治愈人，也很浪漫。","","https://dimg04.c-ctrip.com/images/1mh1x12000gmtegekED9D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1w12000gmtohan3341_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2t12000gmtegem126F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0912000gmthv032AAB_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6k12000gmt518hFF3E_D_180_180.jpg?proc=autoorient","","IP属地:浙江","2","","","","","","","","",""
"行走在民间的艺术家","","2025-04-03 发布点评","🌊拜水都江堰，一日穿越千年的震撼之旅
 
这次成都之行，都江堰景区绝对是最让我难以忘怀的一站！来之前就听闻它的大名，亲眼目睹后，才真正领略到这座千年水利工程的伟大与神奇。
 
📍 交通：从成都出发，我选择坐地铁2号线到犀浦站，站内换乘城际高铁，半个多小时就抵达了都江堰离堆公园站，非常便捷。出高铁站就能看到标志性的熊猫雕塑，可爱又吸睛🐼
 
🎫 门票：成人票80元，价格很合理。可以提前在网上预订，刷身份证就能快速入园，节省不少时间。
 
🌟 景点：都江堰水利工程是当之无愧的核心，鱼嘴、飞沙堰、宝瓶口，三大主体巧妙配合，将岷江之水驯服得服服帖帖，至今仍在滋润着成都平原，不得不感叹古人的智慧超凡绝伦。站在鱼嘴上，看着江水被一分为二，浩浩荡荡地奔腾而去，内心的震撼难以言表。沿着步道前行，飞沙堰处水流湍急，白浪翻涌，而宝瓶口处又显得沉稳有序，让人对水利工程的精妙设计啧啧称奇。
 
除了水利工程，景区内的二王庙也不容错过，它是为纪念李冰父子而建，建筑古朴庄重，里面收藏着许多与都江堰相关的历史文物和文献资料，漫步其中，仿佛能穿越回两千多年前那个战火纷飞却又充满创造激情的时代。登上秦堰楼，还能俯瞰整个都江堰景区和周边的壮丽山河，视野绝佳，是拍照的好地方📷
 
🌳 环境：整个景区植被繁茂，空气清新宜人。沿着江边漫步，微风拂面，听着潺潺的流水声，身心都得到了极大的放松。一路上，各种指示牌清晰明了，卫生设施也很完善，游玩起来非常舒适。
 
🍜 美食：景区周边美食众多，西街和杨柳河街是美食聚集的好去处。我品尝了当地特色的甜水面，面条粗壮劲道，甜辣的酱汁裹满每一口，一口下去超满足；还有老妈火锅粉，麻辣鲜香，吃得我直呼过瘾。价格也比较实惠，能让味蕾尽情享受地道的成都风味。
 
❗ 小贴士：
 
1. 尽量选择工作日或者早上早点入园，避开旅游高峰，能更悠闲地欣赏美景，拍照也不用排队。
 
2. 可以请一位景区导游，或者租用讲解器，这样能更好地了解都江堰的历史文化和水利原理，收获会更大。
 
3. 夏季注意做好防晒和防蚊措施，景区内树木多，蚊虫也不少。
 
都江堰景区，不仅是一处自然与人文完美融合的旅游胜地，更是一堂生动的历史和地理课。这一日游，让我对这座古老的水利工程充满了敬畏，也对成都这座城市多了一份热爱。强烈推荐大家来都江堰感受这份跨越千年的魅力💖","全文","https://dimg04.c-ctrip.com/images/1mh3q12000jinwe3387F0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4k12000jiobodiBDAC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2x12000jin25iz063A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4i12000jinvtvg60B0_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2v12000jio8y1f0CF3_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4q12000jim4246EED3_D_180_180.jpg?proc=autoorient","IP属地:四川","","","","","","","","","",""
"没钱穷乐呵","钻石贵宾","2025-02-17 发布点评","拜水都江堰，问道青城山，到成都来必然要打卡两千多年还在使用的都江堰，正因为蜀首李冰修建的水利工程才让今天的成都大平原有天府之国的美名，就凭这点让李冰为王，建二王庙纪念李冰一点不过分，有个导游讲解对都江堰有个完整的认识，非常满意！都江堰出来南桥是蓝眼泪打卡地，晚上看太漂亮了！","","https://dimg04.c-ctrip.com/images/1mh5612000il3ddi2C42D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3j12000il3n8w734CD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000il44yxvEB97_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5e12000il3uyukF70A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3812000il3dnqnD803_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0n12000il32vei7709_D_180_180.jpg?proc=autoorient","IP属地:四川","","https://dimg04.c-ctrip.com/images/1mh4l12000il3utwm4C60_D_180_180.jpg?proc=autoorient","","","","","","","",""
"胡di 卖火柴的老男孩","","2025-02-07 发布点评","都江堰，人类最早的水利工程。非常佩服当时人类的智慧。这里的景色很壮观。都江堰，人类最早的水利工程。非常佩服当时人类的智慧。这里的景色很壮观。都江堰，人类最早的水利工程。非常佩服当时人类的智慧。这里的景色很壮观。","","https://dimg04.c-ctrip.com/images/1mh1012000icvh0yaA961_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3y12000icvzu8qF0DD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2312000icukdt2D53E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2012000icw8jp60724_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4r12000icved2b2DB5_D_180_180.jpg?proc=autoorient","","IP属地:上海","","","","","","","","","",""
"M49****9023","铂金贵宾","2025-01-10 发布点评","都江堰算是成都的一张名片了，离主城区也很近，所以来成都玩的人都会去都江堰看水，门票八十元，在五A景区中不算贵，游玩天数建议一整天，整个景区还是很大的，很多旅行团来这里，平时人都很多，有许多人把都江堰和青城山一块玩花一天时间，那样时间就很紧张了，都江堰是人文历史悠久的景点，都要追随到战国时期李冰父子了，这个水利工程浩大又壮观，那个水澎湃汹涌，简直感觉不虚此行，登上玉垒阁更是能俯视整个都江堰，还有二王庙这样的庙子，想烧香的也可以来，节假日人太多，在桥上都动不了，工作日来最好。","","https://dimg04.c-ctrip.com/images/1mh5h12000hosyszo5591_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5y12000hosidknC593_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4412000hos3d5w995D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3z12000hoswtu1DF1F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5r12000hosl9qz2237_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0e12000hot04by4DE9_D_180_180.jpg?proc=autoorient","IP属地:四川","","https://dimg04.c-ctrip.com/images/1mh1a12000hosuardEA45_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2e12000hosenth1E6E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5r12000hot25kgBF1A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2b12000hosjjvfF425_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2412000hos563h7D61_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3m12000hosdpgc8609_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1k12000horfuqh40D6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0g12000hoso4vh3CA7_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0712000hosdzvf64E8_D_180_180.jpg?proc=autoorient"
"旅行日记¹","","2024-11-03 发布点评","🎇都江堰南桥：邂逅古色与梦幻的诗意画卷||🌉遇见都江堰南桥，一场诗意的邂逅🌉
✨宝子们，今天我来到了都江堰的南桥，真的被这里的美景震撼到了！😍
🎈当我踏上南桥的那一刻，仿佛穿越了时空。古老的建筑散发着浓厚的历史气息，雕梁画栋，美轮美奂。💖
🌈站在桥上，俯瞰着奔腾的江水，那汹涌的气势让人感受到大自然的力量。岷江之水滔滔不绝，在阳光的照耀下波光粼粼，如同一条银色的巨龙。🐉
🌅傍晚时分，南桥更是别有一番韵味。灯光亮起，整个桥身被装点得如梦如幻。五彩斑斓的灯光倒映在江水中，宛如一幅绚丽的画卷。🎨
💃在这里，你可以漫步在桥上，感受微风拂面，聆听江水的诉说。也可以找一个角落坐下，静静地欣赏这美丽的夜景，让心灵得到片刻的宁静。😌
📍如果你还没有来过都江堰南桥，那么一定要找个时间来感受一下这里的魅力。相信你一定会爱上这个充满诗意的地方！💕","","https://dimg04.c-ctrip.com/images/1mh5g12000ggqfmad3B96_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4612000ggpxtad388C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2d12000ggpzjm5E95E_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6c12000ggqk62oA841_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3912000ggpzjm7BDEF_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0712000ggq3qsq1E69_D_180_180.jpg?proc=autoorient","IP属地:山东","","https://dimg04.c-ctrip.com/images/1mh4w12000ggpx3vgB80A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0u12000ggqcj3e52F6_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1t12000ggqlz07DD9D_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6f12000ggq37ca8546_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5l12000ggq2yvr8BCA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh7412000ggqln3aAB20_D_180_180.jpg?proc=autoorient","","",""
"M43****826","黄金贵宾","2024-10-10 发布点评","十一长假之前去的，人不多，感觉很好。李冰建成的伟大的水利工程，造福人民，造福后代，太值得我们去观摩学习了！景色特美，找了个导游给讲解，很有必要！我们的小导游讲的不错。感觉整个城市都很安逸，喜欢这里，还会再来！","","https://dimg04.c-ctrip.com/images/1mh3j12000g2m9tgy6ADD_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1t12000g2m178v3F1F_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2o12000g2lxar2D7C8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000g2mftqt170A_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh0x12000g2mforlA66D_D_180_180.jpg?proc=autoorient","","IP属地:北京","","","","","","","","","",""
"鲲哥爱旅游","铂金贵宾","2024-08-07 发布点评","‌都江堰，位于‌四川省‌成都市都江堰市城西，是古代水利工程的杰作，至今仍然在为成都平原的农业灌溉和‌防洪发挥着重要作用。它由渠首枢纽（鱼嘴、‌飞沙堰、‌宝瓶口）、灌区各级引水渠道、各类工程建筑物和大中小型水库等构成，是一个庞大的工程系统。都江堰不仅是中国古代科技文明的璀璨明珠，也是世界文化遗产名录中的水利史诗，展现了古人的聪明才智和坚韧毅力。","","https://dimg04.c-ctrip.com/images/1mh4p12000f18gi9yA7BA_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6612000f187qli921C_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4l12000f18fgm46D20_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6512000f181vpk2EF5_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2512000f187q5y76CC_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh5q12000f1864y1F7C4_D_180_180.jpg?proc=autoorient","IP属地:黑龙江","","https://dimg04.c-ctrip.com/images/1mh1012000f18806579D1_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh3r12000f18c34uA7C8_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4212000f189lmg7C82_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh4q12000f18am6cBDC9_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2312000f18i11i3494_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1r12000f18g4px2A26_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh2412000f188jb42EBE_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh1x12000f1892ki4CD2_D_180_180.jpg?proc=autoorient","https://dimg04.c-ctrip.com/images/1mh6i12000f185nms715E_D_180_180.jpg?proc=autoorient"
